Sentence,Predicted Label
"At home , we have our own refrigerator with many kinds of food and drink in it , but in the dormitory , the refrigerator belongs to everyone living in the space , so I seldom store something I buy in it .",1
The reason is that I noticed I would be happy when I saw a flower .,0
"When read something aloud in English , I can produce mostly English sounds largely with the English rhythm .",1
And I ve realized again that I don t like,0
So I will go see them ! !,0
"First of all , he is not handsome .",1
Now we are agonizing about the drastic appreciation of the yen .,0
will shut up .,0
Today is Valentine is Day .,1
It might be too late but I decided to stop eating snacks and chocolates until the check - up .,1
Have a great day !,1
Does everyone is place where he lives live easily ?,1
"This time , I am going to Sydney and Goldcoast .",1
mL pure milk g honey,0
because there are limits on the admission qualifications of Seoul university .,1
"When I was a student in elementary school , at years old , I did not do my summer homework on time because I loved to play video games .",0
A hope or A wish ?,1
"One day , a venomous snake said .",1
"She may feel He is a special man , not like others I have known . ",1
It is a tendency that Japan is economy has been shrinking .,0
No way !,0
I visited california,0
Today I went to a place to donate my BP .,0
i hate it so much .,0
My name is Mikitty .,0
and I ask my friend who is docter of skin about it .,0
I had a part - time job today .,0
when he was year old for the first time of his life .,0
Why did you choose that major ?,1
I need your help ! !,1
Please teach me what that means !,0
"To be honest , I am not certain how much money are allocated to where .",0
"They are so beautiful , so I decided to buy them .",0
Do you have any other musicians you recommend ?,0
I want to exchange of the product due to damage .,1
We had enriching times together .,1
I hope you enjoy your stay .,1
"So , most of people leave school knowing nothing .",0
"Say hello to your sisters , Katrina and Clair .",1
I am glad to keep it .,0
But I felt burned out before the test .,0
went shopping with my mum .,1
because I was curious to see what I thought when I was child .,0
Some say that Japanese cuisine is very good for health .,0
What is on the money ?,0
I realized that Christmas is so soon ! !,0
"I am feeling better today . Still sick , but at least I can breathe through my nose and not my mouth lol .",0
lol I have to make more kimchijeon a lot .,0
To be continued,0
It is said that people celebrate the founding of the nation on this day .,1
"They played game of it , saw their e - mail and do twitter .",0
The staff retires and then he she begins the work in the same workplace again because a pension is not paid .,1
"Learning math at the elementary school is too easy for him , and I want to expose him a lot of Japanese words , considering his poor Japanese vocabulary .",1
Tacos are famous in Okinawa .,0
I graduated from a university and joined a certain company in April of this year .,1
small ? Well sorry .,1
Thank you very much !,0
I go to the beach and listen to the sea .,0
Empty head,1
I will continue it ! !,0
I did not understand what she meant by that phrase .,0
I was very surprised and I could nt help bursting out laughing .,0
"There are always some books and textbooks in my bag , so it is satisfactory heavy .",0
"Second , after they finish reading , the teacher makes several groups of five students and asks them to make their own favorite lunch list .",0
i want to make friends,1
I am so sick of it .,0
The conditions were bad for him .,1
"I need not that any should wait on me , for I seek neither wages , nor clothes , nor bedding .",1
The way to call person,0
I come from Taiwan .,1
Recently I felt difficulty to sleep at night .,0
He compared Albert Einstein with Thomas Edison .,1
A small picture in a frame on a shelf on the furthest corner of our living room .,1
"Next week , I will have a presentation and let them decide their next concept and tactics .",0
I had been make homegrown tomato and basil in this summer .,1
"Last year , when she found out that this show was going to happen , she instantly bought the tickets and invited me to go with her .",0
year of is the last year of my career .,0
I went to a public school but I did nt want to go there .,0
Millionaire is a very famous quiz show and a lot of programs are running in the world .,0
I know extending my vocabulary is a hard moment but I do not want to skip it and I hope I can keep walking as long as I still have energy .,1
"well , thanks to all the ppl who are b me and who are yet to come .",0
day off,1
it is not me . How can I do ?,1
a My car tends to overheat in the summer .,0
He is a student in Germany . He studies economics .,1
Recently It is a remarkable place .,1
I hope I can improve my English .,1
Many times we were just by ourselves on the beach .,0
I am in Japan in the northern hemisphere .,0
They can feel our love and patience .,1
Can I help you ?,0
I put a little decorated plant on my desk in the office .,1
"I write my question so detailed , because I know some of my friends work on IT .",0
"While I had a cold , I could not write anything in my diary .",1
The embattled country ?,0
"In japan , they say For men , a girl ca not be a best friend . , ",0
Why I say this is that the people who are born in a temple have no choice to select faith because of the hereditary system .,0
"Besides , I have been interested in learning German for a long time , but there has been no chance for me to attend a regular course .",0
"If my children can tell me everything , I am the best mom .",1
"I ate , strangely , it was not bad .",1
Today is lunch .,0
"For example , given the case where a man opens a restaurant , we will find luck necessary for success .",0
He went travelling abroad for the first time .,0
I am very happy with it .,0
I miss Sakura .,1
I am going to take a shower and consider it,0
Training will be restared from tommorow .,0
It is snowing from morning to night .,1
"This New Year I traditionally celebrated with my family , and what about you ?",0
Foreign company or domestic company,0
It was the most pleasure for me on my work days .,0
Please correct my mistakes strictly !,1
"Second , to do a search the correct word on the internet or something data .",1
"Yesterday night , it was almost morning though , I could sleep more than five and half hours in a row .",0
There are many United States military bases in Japan .,0
Pig influenza is OK ?,0
"I went to the beach , karaoke , drove a part - time job , went shopping , saw a movie and so on .",0
About last Friday ! !,0
"But the worst day is in two weeks , I will write my English exam - that will be the end .",1
I worked all day yesterday so I was tired .,0
"I departed from Japan to Korea , then I stayed in Incheon , then I departed from Korea to U .",0
But I am so tired because I had slept on hard and narrow bed of hospital while I was sitting by their bed all night .,0
today is my first day in this website .,1
scratch on My mind,1
"They are simple design , functional and beautiful color .",0
He has already learnt English words so far .,1
I got my start for basketball from SLAM DUNK .,0
I should go .,0
It is hard for me to get up at such a time .,0
It gives a lot of information to audiences .,1
Jubeat is an arcade music video game .,0
birthday present,1
"After a huge fight , I decided to put aside my personal interests and build up my own dancing club .",0
The roots of Western classical music lie in early Christian liturgical music .,1
His name is Gregor Samsa .,0
"But , he is so big !",0
"I have no idea if there is such a concept as a ' family restaurant ' in English , but it is popular in Japan .",0
"Yes , I am here",0
Nice to meet you !,1
to cast me IN ?,0
"I played GameCube Edition , PlayStation Edition , and Wii Edition .",0
That is why I NEED to take a break before the most hard come over my job .,1
"In particular , I am not getting to be interested in my job .",1
I am wondering about the difference between .,1
"But they do nt know that if Korean ask you those , it means that they are showing interest in you .",0
My first day of Lang -,0
Nobody know it is course .,0
I would really appreciate your help if you could review my following articles and give me suggestions and advice .,1
Lady GaGa,0
I love Spock !,1
"And there are four people in the family , parents , son and daughter .",0
Never had I thought he was an instructor after taking his class .,1
"But for most Chinese young people , they prefer their parents to live with them .",1
I think traditional arts .,1
The First Time,0
I know Tohoshinki !,1
Then one win and two loses - I was back to square one as an egg .,0
So I was surprised and impressed by the unexpected active situations .,1
This is my first visit to Hawaii .,0
Most Japanese people have two names Last name and First name .,0
I really want to go back to China !,1
I collect his books .,1
But I would eaten up all of the chocolate .,1
I usually do not feel as comfortable with talking about myself to my other friends .,1
"There were many soft first flowers in the grass blow balls , daisies , rhododendrons .",1
I want to write about my father later again .,0
"Third , we went to unoccupied ground by .",1
His whistle is neither too bad nor too good .,1
I liked it .,1
"I did not get up until noon , and then sat on my couch watching TV the whole afternoon .",0
The other reason is that I would like to enjoy a life filled with pressure .,0
as i going to diet i go to sports gym and treadmill running there .,1
"But in actuality , she is childish AHAHAHAHA ! !",0
Then we were laughing .,0
I started to study the theory and practice in the basic electricity and electronics From this month .,1
of my corrected entries .,1
"Oh , no ! !",0
The English Course Will Have Finished By The Beginning Of Next Month,1
Sorry that if you ca not understand what I wrote .,1
The time talking with them is very precious for me .,0
"If you could behave better in the incident , you should imagine and believe that you behaved better there .",0
My favorite tune .,1
My belief is in Christ who loves everybody all over the world and is willing to die on the cross to save people from evil .,0
hell nooooooooooo ! !,1
My father threw fast the ball but I could hit the ball .,1
I dropped into a cycle in which everything I do goes badly .,1
The system .,0
"Fotunately , I was not damaged by the earthquake .",1
Is the problem of stress in the workplace being dealt with sufficiently ?,0
"About the phenomenon , different people hold different views .",1
"Of course , my friend too .",0
Our teacher are very strict but we all love him .,0
"Nowadays , I do not have anything to do .",1
I come from Taiwan .,1
So I was good at listening to Japanese .,1
And I watch TV every day .,1
I long for the American free style .,1
And you ?,0
Some of them were able work without my help but I had to train others .,0
The most important is to enjoy the time when,1
So she ca not go to kindergarten .,1
"I am sorry , but I am looking forward to next Skype .",1
"I am still poor at English and French , but I will do my best to learn more !",1
Please advise if it is acceptable for you .,1
To remember people who help and appreciate you indeed .,1
"Firstly , I have got set interesting acquaintances .",0
and actor is songs were very very fantastic .,0
I have a dog .,0
th May,0
That day I went to do Kendo for the first time . There was also a dance club .,0
"My studies are more important than their conflicts , so I will concentrate on my future .",1
I had to make a minute of meeting held yesterday by today .,1
"But , I had not been to Hawaii .",0
It seems like just yesterday she was playing house in pigtails .,1
" Even if quick , it takes half a day .",0
"Today , I made a pen for fowls with my father .",1
"But , better than this cities , we liked London .",1
"I could not sleep well the day before yesterday , but I managed to stay energetic and observed students in the classroom .",1
It sounds fun but sometimes it is annoying .,1
Some Camembert cheese .,1
Could you please repeat that again ?,0
" Someday when I was running minutes over time , I observed that",1
"When this happens , that particular spot is subject to rapid Joule heating , which raises the temperature of the surrounding regions .",0
"Oh , no !",0
having a party with your classmates does not mean that the cohesion in your class is getting better .,0
What will happen in ?,1
"first time , i really nervous and worried .",0
Do u know rock ?,0
The time between us to talking became less and less .,0
New semester begun,0
"After doing that , you should spent a day with detail schedule and to do list .",0
"In the case of romance , the reason why romance is so good , is certainly more reaction .",0
That is why I have to thank all of you to read my entries and correct any one of them .,0
"When I was child , I learned most of things by my parents .",1
My office is selling consumer electronics .,0
Admit impediments .,1
I will be happy that you could correct it .,1
She said she felt sick from the evening .,1
"Probably , the temperature was under degrees .",1
I come from Taiwan .,1
I visited California,0
and repeated sleeping and having milk during the party .,1
The numbers of estimated casualties differ from datum to datum .,1
I will keep my magazines for the present .,1
All words I know are only Good luck and you will be fine .,0
"I listen to that song every day , I wrote the lyrics by listening to the song .",1
"The waitress told us you guys finished all , it , s good .",1
and it adopts the cyclone method .,0
I am so sad .,0
I really felt sorry for her about her having such nagative thoughts about herself .,0
"Last time I talked to my teacher , I complained about my boss all the time .",1
I have caught a cold for these three days .,1
I am going to decorate dolls for our doll festival in March rd .,1
"This message board was not software on the Internet but hardware in the real world , which was made of wood painted green or black .",1
"In February and March , there was a great difference between the days when it was cold and warm .",0
"Last month , our project is key figure left .",1
I am job hunting .,0
The other two lessons were Hindi .,1
Goodbye New Year holidays !,0
The cosplaying runners were cheered by the audiences rather than normal costumed runners .,1
"So far , I have written about journal entries on Lang - and taken about online English conversation lessons since February .",1
It is o ' clock now .,1
"I really hate the obligation , especially as a air defense soldier .",1
"Finally , there are two things you must not remind them of , ever .",1
sigh We have got two months left .,1
He created those devises .,0
The early bird catches the worm .,0
I will introduce you to a favorite song from among these ones .,1
How are you doing ?,1
"Love , attention .",1
"Resently , Japanese hotel also become more Americanized .",1
"It may make these clear why and how people typify other people , and how a prejudice affects our recognition for a person .",1
I wish I won the lottery .,0
"Hello , I need help for geography PowerPoint presentation project .",1
But they did not .,1
There was enough time to meet my friend .,0
"On the second day , I met my friends who were in same high school as me .",1
"One of the most important places for fun in Australia are the casinos . They have more financial capacity to have a lot of fun in big gambling casinos , even for the oldest people . It is a habit that dates back many generations .",1
The S - A Center is a place where people who are studying a language can practise any skill they want .,0
"To tell the truth , this is a telephone booth .",1
In my opinion the swear words are of three groups .,0
What time is the best time ?,0
"Admittedly , there are some positive influences if the public transport is free .",0
A movie of the name is Pay it forward .,0
I played table tennis .,1
English Shower,0
Make people laugh and cry .,1
Just thinking of riding a train for hours made me so excited when I visited my grandparents every summer vacation .,1
I like kind and moderate person .,1
He played the guitar in front of me .,1
Give me sweets and Champagne .,0
"In other words , they need or have to do so rather than because they like to do so .",0
mobile phone,0
All friend thought my mom broke something .,0
"An English test was done yesterday , so we could see the test in today s paper .",1
"If it were not for it is fandom with it is brilliant , clever persons of irreprassible humour , I should never have begun my web - diary .",0
I think the score of TOEIC is not so important because it is impossible to check our all English skills using only such a simple test .,1
I want to say my behavior will really be a great work if I do so .,1
December Japan time GMT,0
C I am just .,0
"Samuel Wood and Andrew French , scientific officer in California s Stemagen Corporation lab , created five cloned human embryos , which were said to be later destroyed .",0
Its so cold lately .,0
This is the last semester of primary school .,1
I start to lang - today,0
Dear Sir Madam,1
We are looking forward to seeing them .,0
"Surprisingly , I found it was a lovely dog that was watching me .",0
"Recently , the weather is getting warm .",1
"Because , my mentor gives me good comments and advice each time .",0
"Owner You said you could play the piano , did not you ?",1
They try to come into your circle .,0
"Before I came to Singapore , I was worried about my English .",1
I think preparing and thinking about our future is good for us .,1
I also have such a experience .,0
This is my third time to swim in the pool today .,1
"My deposit comes down on wheels , ",1
Hi everyone ! please give me a feedback !,0
I went bowling in my first time in Canada .,0
So I will use this phrase to make sentences .,1
I play vs mini football game .,0
"At that time , I could not be hard to explain my mind .",1
The most important thing is to enjoy the time when,1
I went to a music club .,0
Perhaps the reason is water or salad .,0
And I sometimes drive a care for fun .,1
I have not air conditioner or electric fan because my house is not so hot .,0
I have been thinking strongly about the Working Holiday recently .,0
Sometimes I hate someone who always said too mach bed words to his friend .,0
I have a friend who teaches English to elementary school students at home just like me .,1
He inaugurated his company when he was about sixty years old .,1
"After teachers knew their own weak points in their teaching , they made a lot of efforts , and they became really good teachers .",1
"Thanks , autumn !",0
I wonder what it is same to take a look violence movie ?,0
It is a kind of exercise DVD like Billy is boot camp .,0
We will be back NY on the th .,1
"There was not enough money in her bag , ",0
Alright hope you like it guys .,1
A terrible experience,0
I was satisfied to see that .,1
Some of them make us laugh by their reaction though .,1
"To think about it , I ca not complain about it .",0
I will spend the winter .,1
"By the way , I have a question .",1
S press .,0
It is not a traveler is but India is choice .,0
War leadership is to be executed on the basis of the prerogative of the supreme commander .,1
I made it today ! !,0
So come out in force .,0
The emergency operation last night has tired me .,0
Indy car race postponed,0
"Hello , my name is Javier . I am years old and I am studying applied linguistics .",0
One is that the position of planets causes the phenomenon .,0
"Please feel free to contact me on Lang - , ",0
"No matter you are the one who sends a hidden message or the one who gives an ease , you are not practically doing anything good for you and your friend .",1
Thank you very much for your cooperation .,0
- Sweet potatos one of my firend gave me a few days ago .,0
For the first time Diary,1
"So , they let me keep the last one .",0
"When I heared what she said , I felt so strange .",0
"It was succeeded , but later he got mental sick and had been absent for six months .",1
They have really different kind of charm .,1
an animal .,1
Is this your first arrival ?,0
I promised with my self .,0
But this opportunity is very important for me !,0
"When you hear reading in a foreign language without a dictionary , I am sure most of you think you ca not to do it .",1
I think he came here to teach us lessons .,1
Thank you so much for your time and help .,0
It was disappointing that the Japan football team lost the game yesterday .,0
To Iwate,0
"Then I bought a drink at the vending machine , but I got many more changes than I paid .",1
I started reading a book written in English .,1
He is so crazy for English .,1
There is a father of the strict and a mother of the attentive .,1
Hello,1
A bowl of Udon was only yen .,0
I edge toward a slump,0
I was shocked .,1
"I rarely see foreigners take the entrance exam of a Japanese graduate school , but today , I saw about foreigners .",0
The new - born person registers,1
the blue teddy bear which was already dyed with sticky dark red fluid .,1
thanks everyone !,0
So I want you and Mr .,1
"IN the runner up to the election , the opposition party was cracked down .",1
My friend send thanks message to me .,1
This is my family photo .,1
The First Dairy !,0
But I woke up at am .,0
"The shopping mall was not crowded , so we enjoyed our comfortable shopping .",1
Do you think what this is ?,1
Did you have any fun new year is holiday ?,0
Leftover Beer for Marinating,0
Let is go inside !,0
I want to improve my English skill .,0
And I bet she will be a key person in Terminator .,1
Yet I am not sure if it is really used .,1
Aquarius A gifted person .,1
"There were two Russian officers , Kosterin and Zhilin , who served in the Caucasus .",0
The library is also one of the favorite places in the campus that students and staff will keep in mind forever .,1
My favorite day,1
"a thousand years , and a sick person who folds a thousand cranes will become well again .",1
Today is a very interesting day .,1
But I think there is another reason .,1
- Because Asians consider about their ?,1
So I am very nervous now .,0
I like overseas travel .,0
I am in the library of university .,1
Is this sentence below correct ?,0
"Although I had heard the name of this social site because people were talking about it on their blogs , Twitter etc . , somehow I was not motivated enough .",0
"It smells nice to Japanese people , but it smelled horribly to the Brazilian officer .",1
"However , I am often worried about them .",1
The Japanese test was hard and very VERY long !,0
I belong to brass band club .,0
Two weeks before the match our coach chose people who would play on the match .,0
"When I saw New Year is Card made last year , my daughter is face was different Compared with now .",1
I played tennis with my colleagues today .,1
"I hope the house has enough bedrooms for my parents and my children , so I need four bedrooms .",1
I went to friends house .,1
New word DIABETES,1
th September,0
I even think you are laughing at me .,1
"First of all , let me introduce myself .",0
"Since Japan is relatively a small country , one family share one grave usually .",0
I went there with my family .,0
I like Manga too .,1
Please teach me a recommended Disney movie .,0
After that we enjoyed shopping till pm !,0
I sometimes see a bicycle potentially for dog or cat .,0
Does he love me ?,1
"I am Japanese university sutudent , so I will start new year .",0
"This article observed that although there are several similar ways to manage sustainable fishery in Taiwan , there is scanty of an effective governing process to maintain and enhance outcomes of conservation .",0
"I have not learn photography , even had no dc .",1
is there a short word for this meaning ?,0
Cleaning with Baking Powder,0
We was forced to change our idea .,1
My stomach not feeling so well right now from the two individual presentations in the afternoon .,1
I like cooking .,0
"Now , I feel uncertain about him .",1
I would like to know how to education for their children in North America .,1
Today I got a phone call from my friend who lives in Hong Kong .,0
My girl friend also study English .,0
to Dec .,1
"Oh , do you mean that we wo not go to the movies ?",1
I did not think that Japan would win this .,0
"I thought I did it very badly , so when I knew the result , I was a bit little surprised .",1
"Because we share the same idea , we talk about the same path .",0
The cosplaying runners were cheered by the audiences rather than normal costumed runners .,1
"Anyway , Kenji is impolite .",0
Let It Be Push .,0
How was the wedding ?,1
"Last week , my co - worker said suddenly , Hey , momo , I got silver angel ! ! ",0
"Dear Sir or Madam , ",1
"honesty is hardly ever heard , and most what I need from you .",1
There was the rub .,1
Last Saturday,0
"They were enjoying conversation , too .",0
"I wrote the script , considering their level of fluency in Korean , and prepared props .",0
It was written in and became one of Agatha Christie s most popular and successful story .,0
Help to correct please !,0
"as a language learner , I have been looking for a useful tool to learn languages for a long long time ! ! !",0
I worked out my job weeks ago .,1
Children is eating habits and lifestyle .,1
"All says This is internationaly woman day , but immediately surprised Who other else russians celebrating this holiday ? .",1
"I love desserts , I love sleeping late and I love my family .",1
Especially now it is summer .,0
I fell asleep soon when I lie down in the bed .,1
"Black is selfishness , hopelessness , darkness .",0
pressed by the time,1
"So the weather and my body condition said to me , ",0
"I have not fixed a bicycle before , so it took me so much time .",0
I am going to visit the auction site to check the price of snow pants which I want after work .,1
Oct th,0
The other way is to pass the driving test directly and the paper exam .,0
There were pandas but now there is not .,0
I was busy and tired .,0
let me tell you my story .,0
War leadership is to be executed on the basis of the prerogative of supreme commander .,0
"If you have two people who meet all of the three conditions , By what conditions would you decide which person to choose ?",1
I have not written any entry in English for a few days .,0
Good morning,0
And I cleaned the flat and cooked soup .,1
I did not check thay paid it .,1
but today is schedule pull the plug !,0
"Well , how did you spend your Halloween ?",1
My age is forty .,1
"I could not say anything , I did not want to break that pleasant mood .",1
"I take my dog for a walk every morning and evening , brush his hair , take him for a shower and give him food .",0
All his films are interesting .,1
My wife celebrate my birthday .,1
I think I do not have to mention that Christmas is celebrated in December .,0
There is a vessela container which includes planets .,0
They share some similarities in living atmosphere and chances of education .,1
I am going back to Japan next month .,0
The low salary job can not give you luxurious life but it can give you a smooth and steady life .,0
Nowadays I am going to prepare for the coming exhibition of human revolution .,1
I had not covered the blanket .,1
I am going to show you a Japanese proverb .,0
It was a beautiful day today so I went cycling .,0
Is nt this a sad thing that her talent remains untapped ?,0
We sat on the bench at the terrace and chatted about the each plan in this golden week .,1
Hi,0
I will many sleep today .,1
"On the other hand , I enjoy watching mysterious novels when I have a long vacation .",1
" minutes ago , I found the article of Lang - in a bookstore",0
"No matter what holiday it is , it is a good reason for people to confession , to have fun with friends , to send our best wishes .",1
Rock musicians basically compose and play their own songs and sometimes cover other musicians ' songs .,0
We were very lucky to watch him .,0
Good night .,0
It is too much a bother .,1
"I said , Why do I have to study English ?",0
I am OK .,1
Munch rice balls .,1
I do not know how I can add my profile .,1
"I have not seen rich people who buy lottery , ",0
Perhaps my hair will thin out because of the caffeine .,0
"including mind and boy health , language and self development .",0
"Japanese cough drops have a lot of kinds of flavors , so I bought too many in spite of myself .",1
"Compared to last time , I really improved my spoken speed .",1
"The other day , when I made more than students stay after school , I could not teach either .",1
I am a part of the crowd .,0
Do not let the negative words affect you .,0
I think I can improve my English through it .,1
The taste is familiar to me .,1
I am Hanka .,0
I am into studying English .,1
"Just this time I should prepare dinner now , so in the late night I will return and write today s entry in English and in Korean and .",0
I finished at today .,1
And restaurants serving eel dishes are very busy this day .,1
"Anyway , Kenji is impolite .",0
Tomorrow I will go to the Canon showroom and try to test the functionality of the D and D . I would like to experience the features on my own instead of just reading reviews on the Internet .,0
"We found her squatted in the passageway of our apartment , trumbling , helpless , and her eyes were full of fear .",1
why it sounds so weird ?,0
Tomorrow is Chinese is Valentine is Day .,1
I like music,0
Hi everyone .,0
This does not happen to me only in English and mathematics,1
Hi there,0
"Maybe , I had to go to my part - time job at about am .",0
The police had been doubting me that I had the relationship with him .,1
What kind of peple do you like ?,1
is about any sponsor ? ! ?,0
"And then I had a cold , too .",1
"However , since each story is very interesting , you never get bored reading it .",0
Many countries are suffering from a recession excluding China and etc .,1
Question,1
I had prepared for it since a month ago .,1
We play diffrent piano pieces by turns .,1
Temporary School Closing,0
"The global economic crisis may have damped the appetite for high - end goods , but one small daily luxury gourmet tea - has been posting surprisingly strong sales .",1
"Then , because of taking care of new members , I could not read the research paper at all , and feel to read it .",1
"Anyway , the Caribbean Sea was beautiful .",0
I have seen some examples of but yet or and yet .,0
It is much more interesting .,0
Now many toothpastes contain fluorine and the dentists coat my tooth with fluorine which tastes awful when I go to checkup .,0
I want to sleep it and hope can wake up till AM morning .,0
I have some friends to say hello and teach each other about vegetables .,1
"So , how about talking about your college s life ?",1
That was my favorite one .,0
The information was his funeral .,1
"Hi everyone , ",0
It is a very delightful tool .,0
I went shopping at the market yesterday .,1
Gon was startled and then jumped up .,0
I awoke at am and looked out of the window .,0
"Also , I like fantasy about magic , vampires and the rest .",0
It s not easy to find friends who want the same as you want and sometimes you can support the friendship not for too much time .,1
Pollen allergy,0
It has been raining since yesterday .,0
I come from Taiwan .,1
We talking about each love story .,1
I had heard it several times but had not yet visited it once .,0
"Anyway , I really enjoyed the day I am so satisfied now even I feel hangover .",1
Hello again,1
Many girls like sweets .,0
"Tomorrow I will go to the Canon showroom and try to test the functionality of D and D , I would like to experience the features on my own instead of just reading reviews in the Internet .",0
For example Takeda medicine company Nintendo .,1
"For me , in the country region , Korean Airline is familiar to me and trustworthy .",1
Today I m going to say something other about my hometown .,0
" , many male manatees made a magical map of malaysia .",1
"He said he was sorry for late response , but I said I did nt care at all .",1
I am writing my bad diary .,1
"It must be amazing but a little bit funny lol , and it always reminds me of Spirited Away , the Studio Ghibli movie ",0
Today I will write about myself and about the boring events that happen in my life .,0
I can do it .,0
The shepherd sat again on his heels watching intensely ? the point in which the other one disappeared .,1
He has studied German abroad .,0
"From the time being , I try to find volunteer jobs in order to gain experience .",1
"Yet , to tell the truth , I ca not make sentences in Russian .",1
"Thank you in advance , my friends !",1
"Not only train their body , but also they build strong mind , too .",1
"It is a very good happy ending , I think .",0
All that I did was follow tutorials .,1
School is purpose is teaching students and students are trying to learning hard .,1
"So , let is do something about learning each other !",0
I would like to avoid congestion if it is possible .,0
I met him at a previous interview .,1
I really felt sorry for her about her having such negative thoughts about herself .,0
"Recently , there is a little wish to study abroad .",0
But he is changed his job and broken up with his gf .,1
"By the way , I was the first to buy many books .",0
But I study hard for exams .,1
Is that a way to show some kind of unconformity with the days we are living in ?,0
"And then , stupid gangstars came , but I was already inside the site .",0
Do Asian faces all seem the same to you ?,1
Everyday is continuance of surprise since I came to Tokyo .,0
My answer,0
All of us are about members .,1
"Since yesterday , I have had a sore throat and my nasal passages are stuffed up .",0
So I was in a hurry and managed to do it .,0
Now I do not know how to drive much because I forget it .,1
"The teaching practice taught me difficulties with communicating with students properly , preparing for classes , and teaching English so that students can feel that my English is very enjoyable and useful .",1
We have known her for more than years .,1
We had to run many ups and downs there in the highland .,1
Writing cards is a little burden but it is important for me to get in touch with my old friends .,0
"As you may know , a very big earthquake happened on March in Japan .",1
I play badminton once a week and today was that day .,0
"I knew the name , but I had never tried to do it .",0
" - I can remember people is faces , but not their names .",1
But they American came with an admirable fleet .,0
"Some works coexisting with nature make us feel in union with nature , too .",0
He did it and gave me some advice .,1
I have learnt mandarin for some many years LOL,0
I do not know how to lang - .,1
"If you want to get the same results with fewer push ups as you would if you did them or times , you have to have your hands at about neck width .",1
All people who take part in the tour danced hardly in the bus .,1
"Paul is a left - handed but he has a cigarette in a right hand , so there was a rumor going around that Paul might be dead . This album is so popular among Japanese Rock fan .",0
"Maybe , finally , I will know our baby s gender at that time .",1
"I was down today though , the thrilling and romance movie lifted me up .",0
"If you like cooking , prepare tasty meals for yourself and your family , even if you are getting fat .",1
You can vote for only one video per day !,0
"It starts from April th which is former emperor is birthday , and end in May th which is Children is day .",1
Each of ten people tries to change Japan by spending ten billion yen .,0
"First , combine sugar with soy sauce and sake , then add some meat and vegetables to the mixture and boil it until it becomes spread .",0
My study tour second day .,1
It is made of steel or plastic .,1
"In my view , the life of one is university helps the person grow up social interation as well as academics .",0
I called you sometimes but you did not answer .,1
Today I read a story about the Super Bowl .,0
"In the urban areas , the number of private cars should be controlled . However , the number of buses should be increased .",0
me and my wife beard their attitude .,1
"If you could help me , I would be grateful .",1
I had waked up in o ' clock .,1
mother father sisther brother .,0
He is professor .,0
Tokyo is O .,1
"Maybe it is very difficult , but if you know those kindav pages , ",1
"Now , we have to wait",0
"My friend that has been to Canada once , says Canadian crows is very small like spallows ! !",0
English is sooo difficult !,1
Is the following sentence appropriate for a letter one company sends to another company informing termination of contract ?,1
"For example , when ALT comes to school , I talk to him , but only to say hello .",1
but I do not know what is so funny .,0
Today is the last days up .,0
I have to go to bed for tomorrow .,0
"My name is Penny , and I live in Taiwan .",0
better days await .,0
"Especially , our manager has to realize her dirty mind .",1
Put in seeds ! !,0
"I like Mochi , but it is difficult for me to make it .",1
"If you could behave better at the incident , you should imagine and believe that you behaved better there .",1
I have to change my idleness .,0
It is a bit early yet but I like it .,0
But there were not a lot of people .,1
I really appreciate all of your help .,1
I believe tradtinal kimono was considered as untradional manner in the past .,1
I met my former girlfriend .,1
So my eyes turned red .,1
I was very surprised and felt sad to read this article .,0
bid - bidding,1
"If I have things that i want to do , I have to do it right now .",1
I want to sleep more and more and more .,1
Next station he has to get off .,1
There are many mistakes and funny expressions in my diary .,1
It is an oversized bowl that can hold up to times as much as the regular plates do .,0
I hope it can be improved .,0
Why are you do not like sauce ?,1
It was the first time that I had come across the baby seat on a bike .,0
I have diarrhea today .,0
"When there s no one there , that she s not alone .",0
"One was jasmine , the other one was pink azalea .",0
southern island partner,0
Enjoy your life !,0
"After the English conversation school class , I stopped by the hot spring . I had enough time .",1
"And no matter what he blabs about , I know that he is waiting for me .",0
Finally I finished reading this book .,1
Teacher Nonsense question !,0
I was very touched and I thought that experience was very rewarding .,0
One of my problems is a lack of power of execution .,0
Thank you .,0
I went to shrine near my house on st .,1
I want to write a lot of scripts for drama .,1
"Yes , I drank alcohol with club activist members .",1
They do nt have even jasmine tea .,0
The antagonists often accuse that the legalization of euthanasia will force the dying patients to die because they can not accept that they impose suffering on their family and society .,1
The advice about salvaging data,0
In particular what caught my eye were some ultra - lightweight sports shoes !,1
My th diary,1
My brother suddnely called me today .,1
- Where have you been this summer ?,0
found her ! ! !,0
She is pregnant now .,1
I have a graduation ceremony today .,1
"If when you kill someone , what are you going to do ?",0
I saw English sentence that A swarming hive of bees makes a lot of noise .,1
"Fyi , my blood type is O , so do not give me other blood types ' blood or I will die .",1
I hope it can be used to cooking and it is a functional kitchen if I only could .,1
"I am on summer vacation , so I do it every day .",1
"As a - year - old , you will never have the learning ability of a child .",1
"If I write about all of what he said here , it will probably take at least pages .",1
I wrote an essay entitled .,1
I am going to the US .,1
I have never seen and touch such pretty sand before .,0
He is sleeping in my bed .,1
Poses as a student,1
Of course there were some problems .,0
"Just put plastic bottles of drinks out of the house , and soon you can get on the rocks .",0
The school is near my house .,0
